instance,accuracy
440,75.9090909090909
441,75.73696145124717
442,75.7918552036199
443,75.84650112866817
444,75.90090090090091
445,75.95505617977528
446,75.7847533632287
447,75.83892617449665
448,75.89285714285714
449,75.94654788418708
450,76.0
451,76.05321507760532
452,76.10619469026548
453,76.15894039735099
454,76.2114537444934
455,76.26373626373626
456,76.3157894736842
457,76.36761487964989
458,76.41921397379913
459,76.47058823529412
460,76.52173913043478
461,76.57266811279827
462,76.4069264069264
463,76.45788336933046
464,76.50862068965517
465,76.55913978494624
466,76.60944206008584
467,76.65952890792292
468,76.7094017094017
469,76.7590618336887
470,76.80851063829788
471,76.85774946921444
472,76.90677966101696
473,76.74418604651163
474,76.58227848101266
475,76.63157894736842
476,76.68067226890756
477,76.72955974842768
478,76.56903765690376
479,76.61795407098121
480,76.45833333333333
481,76.2993762993763
482,76.34854771784232
483,76.3975155279503
484,76.2396694214876
485,76.28865979381443
486,76.13168724279835
487,76.18069815195072
488,76.02459016393442
489,75.86912065439672
490,75.91836734693878
491,75.76374745417515
492,75.8130081300813
493,75.65922920892496
494,75.50607287449392
495,75.35353535353535
496,75.40322580645162
497,75.45271629778672
498,75.50200803212851
499,75.35070140280561
500,75.2
501,75.249500998004
502,75.0996015936255
503,74.95029821073558
504,75.0
505,74.85148514851485
506,74.90118577075098
507,74.95069033530572
508,74.80314960629921
509,74.65618860510806
510,74.70588235294117
511,74.75538160469668
512,74.8046875
513,74.6588693957115
514,74.70817120622569
515,74.75728155339806
516,74.8062015503876
517,74.85493230174082
518,74.9034749034749
519,74.95183044315992
520,75.0
521,75.04798464491363
522,75.09578544061303
523,75.1434034416826
524,75.19083969465649
525,75.23809523809524
526,75.2851711026616
527,75.33206831119544
528,75.18939393939394
529,75.23629489603024
530,75.28301886792453
531,75.32956685499059
532,75.37593984962406
533,75.42213883677299
534,75.46816479400749
535,75.51401869158879
536,75.55970149253731
537,75.60521415270019
538,75.65055762081785
539,75.69573283858998
540,75.55555555555556
541,75.60073937153419
542,75.64575645756457
543,75.69060773480663
544,75.55147058823529
545,75.59633027522936
546,75.64102564102564
547,75.50274223034735
548,75.54744525547446
549,75.591985428051
550,75.63636363636364
551,75.68058076225046
552,75.72463768115942
553,75.5877034358047
554,75.45126353790614
555,75.49549549549549
556,75.53956834532374
557,75.58348294434471
558,75.62724014336918
559,75.67084078711986
560,75.71428571428571
561,75.75757575757575
562,75.62277580071175
563,75.66607460035524
564,75.70921985815603
565,75.75221238938053
566,75.79505300353357
567,75.83774250440918
568,75.88028169014085
569,75.92267135325132
570,75.96491228070175
571,76.00700525394045
572,76.04895104895105
573,76.09075043630017
574,76.13240418118467
575,76.17391304347827
576,76.21527777777777
577,76.25649913344887
578,76.12456747404845
579,75.99309153713298
580,76.03448275862068
581,76.07573149741825
582,76.11683848797252
583,76.15780445969125
584,76.1986301369863
585,76.23931623931624
586,76.10921501706484
587,76.14991482112436
588,76.0204081632653
589,75.89134125636673
590,75.9322033898305
591,75.97292724196278
592,76.01351351351352
593,76.05396290050591
594,76.0942760942761
595,76.1344537815126
596,76.00671140939598
597,75.87939698492463
598,75.75250836120401
599,75.62604340567613
600,75.66666666666667
601,75.54076539101497
602,75.41528239202658
603,75.45605306799337
604,75.49668874172185
605,75.53719008264463
606,75.41254125412541
607,75.45304777594728
608,75.32894736842105
